index,technology,y_max,y_min,node
---,---,MW,MW,---
1,PV_1_0,2420355,0,1
2,Wind_1_0,179313,0,1
3,Wind_1_1,96299,0,1
4,Wind_1_2,23181,0,1
5,CCGT,-1,0,1
6,CCGT_CCS,-1,0,1
7,Nuclear,-1,0,1
8,OCGT_F,-1,0,1
9,Allam_NG,-1,0,1
10,PV_2_0,2031841,0,2
11,Wind_2_0,157135,0,2
12,Wind_2_1,73001,0,2
13,Wind_2_2,11349,0,2
14,CCGT,-1,0,2
15,CCGT_CCS,-1,0,2
16,Nuclear,-1,0,2
17,OCGT_F,-1,0,2
18,Allam_NG,-1,0,2
19,PV_3_0,2757332,0,3
20,Wind_3_0,155550,0,3
21,Wind_3_1,190210,0,3
22,Wind_3_2,54325,0,3
23,CCGT,-1,0,3
24,CCGT_CCS,-1,0,3
25,Nuclear,-1,0,3
26,OCGT_F,-1,0,3
27,Allam_NG,-1,0,3
28,PV_4_0,932110,0,4
29,Wind_4_0,18245,0,4
30,Wind_4_1,73346,0,4
31,Wind_4_2,31618,0,4
32,CCGT,-1,0,4
33,CCGT_CCS,-1,0,4
34,Nuclear,-1,0,4
35,OCGT_F,-1,0,4
36,Allam_NG,-1,0,4
