index,technology,p_max,p_min,node
---,---,MW,MW,---
1,Hydro_Res_1,2701,0,1
2,Hydro_RoR_1,1512,0,1
3,PV_1_0,293,0,1
4,Wind_1_0,29,0,1
5,CCGT_1_old,9924,0,1
6,Nuclear_old,8475,0,1
7,OCGT_1_old,2758,0,1
8,NGST_1_old,63,0,1
9,Coal_1,4152,0,1
10,Hydro_Res_2,677,0,2
11,Hydro_RoR_2,1422,0,2
12,PV_2_0,3584,0,2
13,CCGT_2_old,8967,0,2
14,Nuclear_old,12270,0,2
15,OCGT_2_old,10446,0,2
16,NGST_2_old,19,0,2
17,Coal_2,14216,0,2
18,Hydro_Res_3,2826,0,3
19,Hydro_RoR_3,1144,0,3
20,PV_3_0,1239,0,3
21,CCGT_3_old,19794,0,3
22,Nuclear_old,8318,0,3
23,OCGT_3_old,12156,0,3
24,NGST_3_old,2173,0,3
25,Coal_3,17590,0,3
26,PV_4_0,1282,0,4
27,CCGT_4_old,29121,0,4
28,Nuclear_old,3797,0,4
29,OCGT_4_old,8536,0,4
30,NGST_4_old,2221,0,4
31,Coal_4,5375,0,4
