load_1,load_2,load_3,load_4
0.582158298,0.497684861,0.560971984,0.474476014
0.549907139,0.472228804,0.529239148,0.456266359
0.525534636,0.458385471,0.505225581,0.446242253
0.504809691,0.454801892,0.486672999,0.444775571
0.495113247,0.450635628,0.480239773,0.451416056
0.486328435,0.464283139,0.473959958,0.465970299
0.495888848,0.51785262,0.483132894,0.496966279
0.540570381,0.578205073,0.524846185,0.540747535
0.604670316,0.638277932,0.585769031,0.58326985
0.670878722,0.692188212,0.643608482,0.613116427
0.736982346,0.735951219,0.699943995,0.628043377
0.790561028,0.769906496,0.74536841,0.632864655
0.828737608,0.788176826,0.781255228,0.634506064
0.84879694,0.79916515,0.804128813,0.631298899
0.865654528,0.801766972,0.816487196,0.629619555
0.86880463,0.794801217,0.819793028,0.63094534
0.880309661,0.773000928,0.819512783,0.633771539
0.878301942,0.740675266,0.803091603,0.633796932
0.862299015,0.716889444,0.776787607,0.641843518
0.834778587,0.702385355,0.754911989,0.641944883
0.812956537,0.664795877,0.741114625,0.620554376
0.77863867,0.615191682,0.700404179,0.580846033
0.714915239,0.561766207,0.64171214,0.537590782
0.653026177,0.522290533,0.586335175,0.495872865
0.605064514,0.497177449,0.546273503,0.475635076
0.569473311,0.48286399,0.519051564,0.46637783
0.546456031,0.476314522,0.50144118,0.463520563
0.535335727,0.49178514,0.49504906,0.476359721
0.533716571,0.519278265,0.508582714,0.508543913
0.553990959,0.560075166,0.531888273,0.545907247
0.588084604,0.602698869,0.561584426,0.578957715
0.640346427,0.648390952,0.597299112,0.611863021
0.695243616,0.699059476,0.63639993,0.652347514
0.758263424,0.747094601,0.687673312,0.693140468
0.824632046,0.794282857,0.738667771,0.715144991
0.881305028,0.829559592,0.784763936,0.733530396
0.916119385,0.859379935,0.829587161,0.75527899
0.941134062,0.875971254,0.859500079,0.768856426
0.951375174,0.888008616,0.882566701,0.768489947
0.948861535,0.885150509,0.898026561,0.761831872
0.949386508,0.872146618,0.897713102,0.74945527
0.939845338,0.845533594,0.886926634,0.738049062
0.916608883,0.811578044,0.864386609,0.731060681
0.883154744,0.787995629,0.833796622,0.722278586
0.867105792,0.73692123,0.813270489,0.691268969
0.829605061,0.663909367,0.765916404,0.638127319
0.762999119,0.597048078,0.697838969,0.583258695
0.690409906,0.550652978,0.63385678,0.540106838
0.633149078,0.516756376,0.587653085,0.510877896
0.599366942,0.494602922,0.555928604,0.492833066
0.573499904,0.48278,0.534343161,0.48683669
0.556014183,0.488501006,0.525075665,0.496815024
0.555561137,0.506785844,0.534163411,0.525666757
0.568783458,0.534796188,0.555570824,0.562711327
0.596567924,0.565940524,0.580301674,0.600165212
0.62907325,0.593168277,0.617174333,0.641602608
0.664704858,0.619505842,0.655458699,0.68321558
0.702479245,0.643379341,0.698529223,0.7235163
0.745793972,0.660838505,0.739172408,0.754928852
0.780303766,0.679480459,0.775506769,0.779578303
0.810070167,0.69556921,0.809725016,0.795621053
0.832419708,0.707993945,0.840983029,0.79882766
0.846110268,0.719675181,0.857291515,0.806746699
0.85746583,0.722560247,0.872286704,0.809871521
0.860282595,0.713527104,0.872033722,0.802768172
0.850610846,0.688028334,0.85544005,0.783358477
0.825062259,0.655558784,0.824435881,0.762221981
0.785355801,0.638146077,0.783728732,0.74178876
0.76290743,0.598010395,0.758804835,0.706560869
0.724496788,0.539123376,0.703455814,0.645984998
0.653779455,0.484087397,0.629263389,0.587120323
0.587375858,0.449175196,0.565275069,0.539337585
0.540278236,0.426888107,0.520293413,0.507794697
0.510205751,0.414819777,0.48955901,0.487502324
0.494816978,0.412065473,0.469290157,0.4774896
0.487412245,0.423745324,0.46167561,0.486141256
0.492212244,0.449492655,0.472667596,0.511557902
0.505949781,0.481492936,0.491735432,0.544391514
0.533008683,0.516032209,0.517942013,0.574773109
0.577063408,0.549623042,0.552254972,0.61154331
0.618423674,0.583106917,0.589587777,0.652704291
0.665840978,0.614251475,0.631340836,0.696905271
0.715713677,0.64514272,0.673515359,0.731668816
0.7590141,0.674327571,0.716482699,0.765846363
0.801957143,0.708692136,0.760277459,0.797089009
0.833828632,0.737744369,0.800192578,0.823043415
0.861997826,0.763800558,0.835250126,0.843707503
0.887572691,0.778851422,0.865250841,0.856148637
0.902393909,0.776873227,0.876256129,0.849676001
0.911789364,0.752029722,0.868210686,0.822352856
0.890921598,0.710559826,0.837764282,0.78385414
0.845109706,0.683403769,0.791196647,0.74899675
0.812776868,0.635675061,0.760875307,0.703794705
0.771510818,0.570054169,0.703422141,0.633154493
0.698284727,0.511613959,0.631291838,0.56050003
0.622479099,0.471617616,0.565090524,0.507342918
0.571461012,0.445738019,0.520377823,0.469935607
0.534266293,0.431014703,0.490698195,0.444215152
0.51317425,0.426167961,0.471809237,0.42992952
0.503807649,0.438815725,0.46449532,0.434464848
