load_1,load_2,load_3,load_4
0.559645748,0.479123839,0.539245759,0.468423219
0.521558973,0.448538043,0.50136501,0.443465745
0.495936126,0.435576061,0.476094918,0.431434572
0.476508373,0.431685025,0.458511409,0.429490646
0.466180922,0.425748135,0.451048752,0.434211797
0.457979151,0.440006044,0.445113231,0.44777439
0.468779263,0.492470127,0.455288419,0.478707449
0.512195173,0.550417222,0.495244727,0.521023734
0.575468795,0.613024588,0.55596016,0.565193897
0.645014065,0.67366612,0.617960675,0.600990767
0.715885263,0.722759816,0.679133119,0.621887742
0.773813235,0.764072665,0.730224415,0.634057719
0.819788219,0.791620309,0.774169128,0.643638661
0.842149454,0.801549524,0.799588755,0.642730811
0.857209619,0.803820519,0.810955363,0.640871768
0.859881827,0.79816052,0.814786673,0.644097715
0.873876629,0.781286991,0.817821844,0.650341744
0.868213652,0.740232507,0.797425575,0.647910008
0.852063174,0.726589133,0.774270388,0.660630833
0.831599618,0.7145547,0.759300231,0.665224234
0.809188026,0.671338841,0.743699781,0.639229631
0.770217363,0.615470281,0.696734343,0.592489304
0.701422514,0.55651842,0.632390162,0.543213116
0.634832701,0.511643988,0.572011572,0.495815605
0.575819317,0.470400544,0.520065108,0.464422144
0.534306548,0.456101037,0.486829552,0.44876772
0.512142846,0.448921688,0.469545513,0.4451099
0.502101308,0.464593461,0.463890495,0.457625556
0.500952144,0.489742075,0.476660493,0.488145743
0.52201604,0.532016944,0.500434586,0.525998503
0.56006597,0.579444303,0.534173777,0.563356776
0.618778201,0.632951201,0.576462933,0.603085299
0.676034459,0.68343516,0.618427397,0.646993497
0.734560274,0.727010992,0.665980125,0.68500603
0.796959063,0.773802557,0.713730889,0.705021327
0.853297677,0.812714961,0.760883298,0.726779409
0.890885032,0.845169254,0.808087745,0.751951525
0.915270048,0.860452423,0.837587564,0.765902216
0.926372398,0.876315552,0.861785053,0.768228955
0.933733438,0.887704877,0.887640937,0.772656982
0.951241545,0.892205587,0.904731006,0.775715693
0.956898407,0.876338996,0.908390539,0.775402232
0.924025431,0.820945287,0.876629479,0.760531531
0.864842287,0.769474072,0.819509854,0.727393461
0.832813394,0.714041049,0.783111533,0.681767666
0.791755872,0.638538359,0.731886298,0.624576929
0.723070569,0.569526,0.661692158,0.56680012
0.651130135,0.523716281,0.598049834,0.522368125
0.595288818,0.490164738,0.552359275,0.49215349
0.562518967,0.468668682,0.521125305,0.473326564
0.537808813,0.45623561,0.500094143,0.466735687
0.521838612,0.462681184,0.491838511,0.476611331
0.521812532,0.479151289,0.500498738,0.50405089
0.536347077,0.509196669,0.52261719,0.541721844
0.568621412,0.545354539,0.551793803,0.583381999
0.608709241,0.580910597,0.595359873,0.631524345
0.647623765,0.608121279,0.63663135,0.675332243
0.682421956,0.628899815,0.67618538,0.712740954
0.723158583,0.647984564,0.714125585,0.741868025
0.758524267,0.671175877,0.751949396,0.769978728
0.79140267,0.690646934,0.789091587,0.789378443
0.813723124,0.70214914,0.819865266,0.793054625
0.828243082,0.717952727,0.837455959,0.803862214
0.84912851,0.735028597,0.862813132,0.818296828
0.868941406,0.743915013,0.880001625,0.827745303
0.874900347,0.729825836,0.877821646,0.819822091
0.840504263,0.675365751,0.837490278,0.789768122
0.775333682,0.630619746,0.771084061,0.744805366
0.7373094,0.585383353,0.73133529,0.695606303
0.695383839,0.523667401,0.672858976,0.631180098
0.622919086,0.465849651,0.597160132,0.569342442
0.556689074,0.430604857,0.533823686,0.520578801
0.510051781,0.406877245,0.490098608,0.488674771
0.480493377,0.394712883,0.459991176,0.467817171
0.46542922,0.390850763,0.440173227,0.457345347
0.458738581,0.402792176,0.433377388,0.465969432
0.463463581,0.426238354,0.443788843,0.490219201
0.478169101,0.45981815,0.463495149,0.523694187
0.509267239,0.49886808,0.49356284,0.558426697
0.559983657,0.54019045,0.534150202,0.601951467
0.60435221,0.574231998,0.574629373,0.645575494
0.648961226,0.602507937,0.613611712,0.687058296
0.696864422,0.634805889,0.653888906,0.719477678
0.741578162,0.668144279,0.698768732,0.756801098
0.787434988,0.705464605,0.745540148,0.790951301
0.819028731,0.733181961,0.785229406,0.817112925
0.847958755,0.763237242,0.821520082,0.840261946
0.883821108,0.793258543,0.862948499,0.864129301
0.916912186,0.810328031,0.892995968,0.874968242
0.943576798,0.797839203,0.902013474,0.859371414
0.913310017,0.73238637,0.861673333,0.811795053
0.838370687,0.675888486,0.785959275,0.752156965
0.788151294,0.622633812,0.738604736,0.693210903
0.742354812,0.553964858,0.677019537,0.618964945
0.666698018,0.492721034,0.602472904,0.544057727
