Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2
0.281681878,0.177964095,0,0.200890061,0.119159266,0.132629632,0.17760625,0.111846288,0,0.296404025,0.300595619,0.167241594,0.121203035,0.07371649,0,0.345546923,0.264890043,0.208780579,0,0.202597526,0.143652873,0.10043891
0.281681878,0.177964095,0,0.1718545,0.092286283,0.120716797,0.17760625,0.111846288,0,0.27714644,0.266585714,0.131692665,0.121203035,0.07371649,0,0.30512596,0.234123963,0.184172338,0,0.161411065,0.125818969,0.086073481
0.281681878,0.177964095,0,0.149609633,0.074368992,0.085012797,0.17760625,0.111846288,0,0.252616734,0.236127832,0.132986279,0.121203035,0.07371649,0,0.265783003,0.195750274,0.152541667,0,0.152061664,0.109490777,0.068160752
0.281681878,0.177964095,0,0.13551973,0.057811192,0.061825943,0.17760625,0.111846288,0,0.219122708,0.187252777,0.129690212,0.121203035,0.07371649,0,0.21416379,0.15623369,0.146475508,0,0.134454756,0.089897653,0.059747202
0.281681878,0.177964095,0.01,0.138449262,0.046422915,0.043911399,0.17760625,0.111846288,0.023515899,0.198565343,0.160950772,0.109607722,0.121203035,0.07371649,0,0.172482479,0.12741444,0.129933847,0.010518878,0.11343176,0.073527382,0.060801595
0.281681878,0.177964095,0.104120868,0.146082214,0.039665061,0.031701273,0.17760625,0.111846288,0.191036304,0.125200284,0.110159323,0.094129308,0.121203035,0.07371649,0.070222027,0.147057401,0.103910967,0.104258922,0.208058847,0.100418635,0.069022996,0.053732736
0.281681878,0.177964095,0.299232466,0.128734285,0.029968858,0.015046493,0.17760625,0.111846288,0.406650516,0.030534531,0.019902175,0.025605422,0.121203035,0.07371649,0.208468726,0.059318937,0.03592506,0.034093918,0.504089112,0.047076826,0.041838913,0.020509602
0.281681878,0.177964095,0.463220124,0.082617562,0.01,0,0.17760625,0.111846288,0.557275552,0.019630138,0.014987632,0.012009008,0.121203035,0.07371649,0.355470995,0.029969434,0.011914864,0.011160426,0.651007905,0.031118065,0.016138793,0.01
0.281681878,0.177964095,0.568109681,0.088692756,0.013960769,0,0.17760625,0.111846288,0.656262116,0.021144517,0.016179802,0.011115553,0.121203035,0.07371649,0.492572926,0.018798645,0.01,0.01,0.718842427,0.036153806,0.017613984,0.01
0.281681878,0.177964095,0.654720762,0.09367676,0.022656148,0.010514083,0.17760625,0.111846288,0.7295914,0.021868612,0.017588796,0.01117628,0.121203035,0.07371649,0.574561343,0.020589999,0.01,0.01,0.737963247,0.051141575,0.02105661,0.01
0.281681878,0.177964095,0.698098904,0.102135623,0.038925357,0.044775205,0.17760625,0.111846288,0.767969487,0.025907844,0.020385299,0.01918749,0.121203035,0.07371649,0.639628004,0.038147726,0.017416453,0.018137878,0.723760348,0.099272517,0.036553303,0.012125521
0.281681878,0.177964095,0.710316145,0.103862983,0.071801056,0.118263603,0.17760625,0.111846288,0.780962664,0.041258025,0.027474715,0.052125708,0.121203035,0.07371649,0.677825629,0.061732526,0.032736316,0.037206335,0.684919031,0.154044307,0.064461364,0.027055973
0.281681878,0.177964095,0.674006471,0.145288669,0.128161043,0.166424131,0.17760625,0.111846288,0.764577979,0.065872939,0.035528873,0.076124152,0.121203035,0.07371649,0.692021084,0.103337692,0.062982117,0.085613303,0.603892719,0.215443534,0.11327698,0.057969653
0.281681878,0.177964095,0.604732925,0.166864335,0.192787602,0.238929093,0.17760625,0.111846288,0.708797526,0.116508481,0.055664514,0.164498886,0.121203035,0.07371649,0.662989904,0.17884182,0.12320073,0.120523594,0.505464877,0.289768465,0.188602217,0.131515689
0.281681878,0.177964095,0.538285613,0.189655996,0.219010393,0.263962533,0.17760625,0.111846288,0.610935541,0.159606341,0.085191767,0.134459182,0.121203035,0.07371649,0.614719471,0.251956794,0.200629456,0.182764081,0.423337835,0.355724053,0.279988966,0.212163842
0.281681878,0.177964095,0.468023378,0.206291762,0.242441032,0.258678113,0.17760625,0.111846288,0.486232831,0.220052818,0.11919639,0.122765141,0.121203035,0.07371649,0.54282552,0.302905398,0.238371568,0.20727986,0.371248863,0.397888087,0.341471547,0.270447175
0.281681878,0.177964095,0.37210157,0.188809908,0.221580913,0.282982024,0.17760625,0.111846288,0.340470642,0.248463414,0.148685778,0.119769163,0.121203035,0.07371649,0.446286753,0.34739533,0.249153652,0.196657212,0.291523621,0.39295575,0.380022089,0.402277412
0.281681878,0.177964095,0.22371465,0.198807529,0.206652698,0.26694879,0.17760625,0.111846288,0.126626348,0.276852925,0.183203053,0.172674122,0.121203035,0.07371649,0.224319026,0.338156715,0.249946364,0.197200799,0.106556604,0.374003626,0.415241281,0.45197662
0.281681878,0.177964095,0.044662493,0.227651549,0.20340041,0.268351065,0.17760625,0.111846288,0.01,0.277652317,0.268935382,0.13709521,0.121203035,0.07371649,0.027825722,0.30415503,0.25628911,0.229751977,0,0.378754874,0.399642498,0.322077879
0.281681878,0.177964095,0,0.301059188,0.234102299,0.220174056,0.17760625,0.111846288,0,0.318924681,0.334944284,0.082170883,0.121203035,0.07371649,0,0.304612793,0.268003779,0.2173691,0,0.414318451,0.411840523,0.256030533
0.281681878,0.177964095,0,0.329955501,0.225908333,0.157769974,0.17760625,0.111846288,0,0.340701501,0.381145521,0.078179901,0.121203035,0.07371649,0,0.271995496,0.25926653,0.21082734,0,0.441526893,0.426608331,0.212974402
0.281681878,0.177964095,0,0.368021526,0.212800763,0.097072137,0.17760625,0.111846288,0,0.34734095,0.416703881,0.066138589,0.121203035,0.07371649,0,0.228851561,0.228101063,0.170214037,0,0.444077939,0.418788267,0.24128889
0.281681878,0.177964095,0,0.33601103,0.188123879,0.06060083,0.17760625,0.111846288,0,0.339224128,0.404145873,0.06956045,0.121203035,0.07371649,0,0.219366329,0.197713216,0.154815819,0,0.407749537,0.411577098,0.271249247
0.281681878,0.177964095,0,0.297186683,0.186278772,0.063548595,0.17760625,0.111846288,0,0.327286323,0.368509784,0.068032731,0.121203035,0.07371649,0,0.236715275,0.209205084,0.144594487,0,0.368230355,0.388901792,0.29112963
0.281681878,0.177964095,0,0.250328066,0.170265082,0.08155656,0.17760625,0.111846288,0,0.302064151,0.32936984,0.053980966,0.121203035,0.07371649,0,0.258544088,0.220120382,0.140071352,0,0.338776414,0.345255832,0.298080121
0.281681878,0.177964095,0,0.228125008,0.170342745,0.075787399,0.17760625,0.111846288,0,0.258592459,0.261946613,0.028263873,0.121203035,0.07371649,0,0.265615387,0.195911923,0.108748152,0,0.297647004,0.313724339,0.283322009
0.281681878,0.177964095,0,0.247888999,0.190899939,0.077364461,0.17760625,0.111846288,0,0.201045406,0.188605415,0.017044683,0.121203035,0.07371649,0,0.247437663,0.167490243,0.084388507,0,0.250316836,0.286782479,0.261148165
0.281681878,0.177964095,0,0.274452228,0.186190961,0.056878905,0.17760625,0.111846288,0,0.155921802,0.114392814,0.011936155,0.121203035,0.07371649,0,0.232819492,0.141763463,0.072269967,0,0.2382483,0.252975595,0.22918291
0.281681878,0.177964095,0.01,0.295804593,0.184224288,0.047834248,0.17760625,0.111846288,0.029955703,0.115394659,0.062210676,0.01638467,0.121203035,0.07371649,0.01,0.217654326,0.134435019,0.08498688,0.016475864,0.236642617,0.254213989,0.222389831
0.281681878,0.177964095,0.121932625,0.294050341,0.17342494,0.044377117,0.17760625,0.111846288,0.259349951,0.067181603,0.034857049,0.014888742,0.121203035,0.07371649,0.1471817,0.202254209,0.131401432,0.08725407,0.302730696,0.251021988,0.261421738,0.228084442
0.281681878,0.177964095,0.372812425,0.161264616,0.079172268,0.019260217,0.17760625,0.111846288,0.543848299,0.01555371,0,0,0.121203035,0.07371649,0.403163829,0.087633222,0.052945841,0.032462574,0.694629542,0.153897637,0.124470541,0.118208529
0.281681878,0.177964095,0.585251486,0.065480791,0.042588041,0.011821057,0.17760625,0.111846288,0.711134855,0.012837247,0,0,0.121203035,0.07371649,0.593078762,0.033816477,0.012251752,0,0.820418284,0.167108868,0.116202013,0.07719738
0.281681878,0.177964095,0.736071313,0.057873567,0.045664327,0.02265302,0.17760625,0.111846288,0.785416405,0.011766689,0.01,0.012289093,0.121203035,0.07371649,0.714817665,0.035433377,0.013932607,0,0.852806393,0.224370131,0.162314969,0.122425164
0.281681878,0.177964095,0.80128261,0.05057604,0.041964939,0.029438188,0.17760625,0.111846288,0.824811196,0.018188985,0.011339854,0.025667879,0.121203035,0.07371649,0.776140097,0.037456844,0.016028092,0,0.859647546,0.283240448,0.193892779,0.139674257
0.281681878,0.177964095,0.785149859,0.045666623,0.039075092,0.034023193,0.17760625,0.111846288,0.840420948,0.021965852,0.019199968,0.058515647,0.121203035,0.07371649,0.789714936,0.052695592,0.025684736,0.01,0.852905667,0.348163533,0.241560597,0.15938162
0.281681878,0.177964095,0.735312725,0.066759668,0.054689364,0.088047848,0.17760625,0.111846288,0.8297355,0.034400033,0.025214325,0.079944123,0.121203035,0.07371649,0.782564412,0.077969187,0.041611866,0.01552263,0.855435307,0.406591839,0.292685894,0.194127332
0.281681878,0.177964095,0.683125704,0.135775459,0.12528285,0.191995834,0.17760625,0.111846288,0.801069518,0.048360703,0.039137617,0.167658416,0.121203035,0.07371649,0.764455449,0.115382139,0.07598733,0.04555588,0.847575009,0.442180948,0.352345788,0.249861303
0.281681878,0.177964095,0.610150274,0.253955478,0.229766202,0.31971404,0.17760625,0.111846288,0.765457293,0.072404683,0.061919623,0.215964613,0.121203035,0.07371649,0.728847633,0.169760907,0.141142467,0.111209613,0.824417129,0.487598128,0.405270966,0.33311607
0.281681878,0.177964095,0.541198011,0.278461918,0.271423822,0.279278039,0.17760625,0.111846288,0.693229836,0.125530335,0.092798107,0.17621783,0.121203035,0.07371649,0.68886964,0.241510522,0.197480294,0.166843019,0.781391174,0.528813986,0.463394415,0.38814344
0.281681878,0.177964095,0.458862999,0.270440735,0.277318764,0.198230653,0.17760625,0.111846288,0.597602954,0.182060237,0.132321821,0.138323436,0.121203035,0.07371649,0.629841186,0.274367857,0.226554476,0.197564705,0.736867218,0.541104478,0.504820898,0.443222665
0.281681878,0.177964095,0.359456215,0.290591902,0.246716997,0.141355424,0.17760625,0.111846288,0.441700303,0.220151678,0.129920423,0.098691281,0.121203035,0.07371649,0.524307803,0.289513868,0.230826086,0.215037665,0.618142823,0.552373129,0.526109758,0.455407397
0.281681878,0.177964095,0.208702213,0.250208545,0.244869387,0.131191943,0.17760625,0.111846288,0.179004459,0.247831987,0.129469018,0.069184836,0.121203035,0.07371649,0.279623167,0.290283242,0.212810948,0.19555135,0.257561353,0.521074055,0.499809652,0.467889074
