index,tech,1,2,3,4,5
1,Hydro_Res_1,0.99,0.97,0.96,0.95,0.94
2,Hydro_RoR_1,0.98,0.97,0.95,0.93,0.92
3,PV_1_0,1,1,1,1,1
4,Wind_1_0,1,1,1,1,1
5,CCGT_old,1,1,1,1,1
6,Nuclear_old,1,1,1,1,1
7,OCGT_old,0.09,0,0,0,0
8,NGST_old,1,1,1,1,1
9,Coal,0.28,0,0,0,0
10,Hydro_Res_2,0.77,0.54,0.3,0.07,0
11,Hydro_RoR_2,0.86,0.72,0.58,0.44,0.3
12,PV_2_0,1,1,1,1,1
13,CCGT_old,0.96,0.91,0.87,0.82,0.78
14,Nuclear_old,1,1,1,1,1
15,OCGT_old,0.96,0.91,0.87,0.82,0.78
16,NGST_old,0,0,0,0,0
17,Coal,0.82,0.64,0.47,0.29,0.11
18,Hydro_Res_3,0.96,0.92,0.88,0.84,0.8
19,Hydro_RoR_3,1,1,1,1,1
20,PV_3_0,1,1,1,1,1
21,CCGT_old,1,0.99,0.99,0.99,0.99
22,Nuclear_old,1,1,1,1,1
23,OCGT_old,0.98,0.96,0.94,0.92,0.9
24,NGST_old,0.13,0,0,0,0
25,Coal,0.92,0.84,0.76,0.68,0.6
26,PV_4_0,1,1,1,1,1
27,CCGT_old,0.89,0.78,0.67,0.56,0.45
28,Nuclear_old,1,1,1,1,1
29,OCGT_old,0.95,0.89,0.84,0.78,0.73
30,NGST_old,0.85,0.71,0.56,0.42,0.27
31,Coal,0.64,0.28,0,0,0
