type,cost_inv_overnight,cost_fixed,cost_variable,fuel_price,heat_rate,fuel_type,emission_rate,ramping_capacity,life_time
,$/MW,$/MW-year,$/MWh,$/MMBtu,MMBtu/MWh,---,t/MMBtu,% of installed capacity,years
Hydro_Res_1,,41000,0.02,0,0,none,0,1,100
Hydro_RoR_1,,41000,0.02,0,0,none,0,1,100
PV_1_0,1151000,15851.84692,0,0,0,none,0,1,30
Wind_1_0,1285000,42496.15385,0.01,0,0,none,0,1,30
Wind_1_1,1328000,42496.15385,0.01,0,0,none,0,1,30
Wind_1_2,1274000,42496.15385,0.01,0,0,none,0,1,30
CCGT,1008001.936,12863.45776,2.1611,2.64,6.4005,natural_gas,0.0531,1,27
CCGT_CCS,2550424.8,26994.10609,5.7171,3.59,7.525,natural_gas_ccs,0.0053,1,30
CCGT_1_old,,10018.711,3.5,2.64,6.92,natural_gas,0.0531,1,27
Nuclear,6928866.991,118988.2122,2.3183,0.67,10.46,uranium,0,1,60
Nuclear_old,,118988.2122,2.3183,0.67,10.46,uranium,0,0.25,60
OCGT_F,920685.8889,11394.89194,4.499,2.64,9.5145,natural_gas,0.0531,1,44
OCGT_1_old,,7326.139,11.3,2.64,14.75,natural_gas,0.0531,1,44
NGST_1_old,,17797.5,7.345,2.64,10.35,natural_gas,0.0531,0.16,55
Allam_NG,1824150.176,53294.43,2.2986,3.68,7.072,natural_gas_allam,0.001,1,30
Coal_1,,60901.002,1.8,2.05,10.93,coal,0.0953,0.57,59
Hydro_Res_2,,41000,0.02,0,0,none,0,1,100
Hydro_RoR_2,,41000,0.02,0,0,none,0,1,100
PV_2_0,1119000,15851.84692,0,0,0,none,0,1,30
Wind_2_0,1238000,42496.15385,0.01,0,0,none,0,1,30
Wind_2_1,1241000,42496.15385,0.01,0,0,none,0,1,30
Wind_2_2,1238000,42496.15385,0.01,0,0,none,0,1,30
CCGT_2_old,,10640.666,3.562,2.64,7.27,natural_gas,0.0531,1,27
OCGT_2_old,,7476.916,11.3,2.64,12.17,natural_gas,0.0531,1,44
NGST_2_old,,49776,1,2.64,11.55,natural_gas,0.0531,0.16,55
Coal_2,,59805.929,1.8,2.05,10.18,coal,0.0953,0.57,54
Hydro_Res_3,,41000,0.02,0,0,none,0,1,100
Hydro_RoR_3,,41000,0.02,0,0,none,0,1,100
PV_3_0,1130000,15851.84692,0,0,0,none,0,1,30
Wind_3_0,1250000,42496.15385,0.01,0,0,none,0,1,30
Wind_3_1,1285000,42496.15385,0.01,0,0,none,0,1,30
Wind_3_2,1302000,42496.15385,0.01,0,0,none,0,1,30
CCGT_3_old,,11606.281,3.581,2.64,7.27,natural_gas,0.0531,1,27
OCGT_3_old,,7545.911,11.3,2.64,11.84,natural_gas,0.0531,1,44
NGST_3_old,,30517.938,1,2.64,11.58,natural_gas,0.0531,0.16,55
Coal_3,,59411.908,1.8,2.05,10.32,coal,0.0953,0.57,51
PV_4_0,1106000,15851.84692,0,0,0,none,0,1,30
Wind_4_0,1209000,42496.15385,0.01,0,0,none,0,1,30
Wind_4_1,1239000,42496.15385,0.01,0,0,none,0,1,30
Wind_4_2,1265000,42496.15385,0.01,0,0,none,0,1,30
CCGT_4_old,,12077.836,3.577,2.64,7.35,natural_gas,0.0531,1,27
OCGT_4_old,,7697.09,11.3,2.64,12.92,natural_gas,0.0531,1,44
NGST_4_old,,29172.777,1,2.64,11.17,natural_gas,0.0531,0.16,55
Coal_4,,58566.546,1.8,2.05,10.65,coal,0.0953,0.57,40
